technical_interests,interests,non_technical_interests,achievements,career
digital logic design,volunteering,creativity,academic excellence,12
coding,health,business,robotics competition wins,8
algorithm design,design,architecture,academic excellence,23
mobile app development,media and communications,writing,environmental initiatives,10
artificial intelligence,community service,medicine,robotics competition wins,38
data visualization,anatomy,architecture,science fair awards,15
computer architecture,gaming,languages,social media influence,34
robotics,gaming,innovation,robotics competition wins,9
problem solving,volunteering,writing,business ventures,15
geographic information systems,culture,sociology,robotics competition wins,8
algorithm design,design,entrepreneurship,scientific research awards,6
computer architecture,business,management,certifications,19
ux/ui,technology,photography,hackathon wins,31
logical thinking,literature,nature,social initiatives,20
logical thinking,environmental sustainability,leadership,environmental initiatives,30
bioinformatics,design,entrepreneurship,awards,3
IoT,literature,physics,startups,7
data visualization,sports,writing,public speaking awards,1
artificial intelligence,environmental sustainability,finance,philanthropic work,29
bioinformatics,psychology,education,environmental initiatives,26
mobile app development,literature,medicine,hackathon wins,28
chemistry,writing,management,travel experiences,22
electronics,fitness,music,sports achievements,23
robotics,health,innovation,coding competition wins,24
mathematics,nature,education,scientific research awards,16
problem solving,psychology,cooking,business ventures,13
database management,entrepreneurship,technology,robotics competition wins,35
digital logic design,sports,writing,business ventures,35
operating systems,photography,fashion,awards,9
IoT,history,languages,volunteer work,17
quantum computing,culture,management,artistic accomplishments,22
computational biology,traveling,nature,literary awards,6
database management,psychology,photography,certifications,4
big data,leadership,philosophy,performances,40
chemistry,fashion,animals,scientific research awards,1
digital logic design,finance,politics,grants,37
chemistry,video editing,management,musical achievements,19
computational biology,design,mathematics,environmental initiatives,14
robotics,video editing,architecture,coding competition wins,7
mobile app development,health,cooking,leadership roles,18
ux/ui,volunteering,culture,special projects,4
coding,animals,geography,science fair awards,30
mechanics,video editing,creativity,science fair awards,29
quantum computing,health,chemistry,internship experiences,31
chemistry,photography,chemistry,scientific research awards,7
cybersecurity,technology,culture,exhibitions,39
artificial intelligence,innovation,politics,social initiatives,27
AR/VR,space,languages,community service awards,9
IoT,fashion,entrepreneurship,business ventures,12
computational biology,politics,music,awards,20
database management,music,languages,public speaking awards,16
database management,space,physics,environmental initiatives,21
electronics,entrepreneurship,art,special projects,24
IoT,innovation,gaming,writing competition wins,38
blockchain,space,entrepreneurship,entrepreneurial ventures,23
mobile app development,innovation,health,scholarships,5
chemistry,video editing,business,musical achievements,27
algorithm design,history,philosophy,travel experiences,29
mathematics,human rights,management,academic excellence,18
game development,space,finance,charity work,36
mobile app development,design,business,performances,3
electronics,social media,law,publications,16
digital logic design,fashion,medicine,academic excellence,31
cloud computing,literature,chemistry,exhibitions,32
mathematics,photography,sociology,writing competition wins,7
IoT,community service,mathematics,volunteer work,20
cybersecurity,fashion,photography,social media influence,7
cloud computing,traveling,literature,travel experiences,10
bioinformatics,business,creativity,community building,17
physics,human rights,entrepreneurship,certifications,35
cybersecurity,education,literature,academic excellence,25
big data,education,chemistry,recognition,27
biology,entrepreneurship,economics,internship experiences,12
AR/VR,fashion,medicine,community service awards,40
natural language processing,sports,fitness,robotics competition wins,35
computational biology,sociology,sociology,leadership roles,39
IoT,languages,sociology,internship experiences,7
computational biology,environmental sustainability,philosophy,social initiatives,17
algorithm design,fitness,health,volunteer work,40
AR/VR,entrepreneurship,nature,environmental initiatives,37
statistics,philosophy,fashion,writing competition wins,30
mobile app development,philosophy,health,mathematics competition wins,5
ux/ui,space,art,public speaking awards,14
machine learning,technology,culture,social initiatives,30
IoT,sociology,animals,hackathon wins,9
quantum computing,science,design,coding competition wins,36
bioinformatics,photography,gaming,travel experiences,3
web development,video editing,leadership,fundraising efforts,28
robotics,community service,innovation,scholarships,39
cloud computing,philosophy,fitness,community service awards,16
statistics,anatomy,art,business ventures,33
machine learning,photography,architecture,exhibitions,12
